,date,holiday
0,20170101,2
1,20170102,1
2,20170103,0
3,20170104,0
4,20170105,0
5,20170106,0
6,20170107,1
7,20170108,1
8,20170109,0
9,20170110,0
10,20170111,0
11,20170112,0
12,20170113,0
13,20170114,1
14,20170115,1
15,20170116,0
16,20170117,0
17,20170118,0
18,20170119,0
19,20170120,0
20,20170121,1
21,20170122,0
22,20170123,0
23,20170124,0
24,20170125,0
25,20170126,0
26,20170127,2
27,20170128,2
28,20170129,2
29,20170130,1
30,20170131,1
31,20170201,1
32,20170202,1
33,20170203,0
34,20170204,0
35,20170205,1
36,20170206,0
37,20170207,0
38,20170208,0
39,20170209,0
40,20170210,0
41,20170211,1
42,20170212,1
43,20170213,0
44,20170214,0
45,20170215,0
46,20170216,0
47,20170217,0
48,20170218,1
49,20170219,1
50,20170220,0
51,20170221,0
52,20170222,0
53,20170223,0
54,20170224,0
55,20170225,1
56,20170226,1
57,20170227,0
58,20170228,0
59,20170301,0
60,20170302,0
61,20170303,0
62,20170304,1
63,20170305,1
64,20170306,0
65,20170307,0
66,20170308,0
67,20170309,0
68,20170310,0
69,20170311,1
70,20170312,1
71,20170313,0
72,20170314,0
73,20170315,0
74,20170316,0
75,20170317,0
76,20170318,1
77,20170319,1
78,20170320,0
79,20170321,0
80,20170322,0
81,20170323,0
82,20170324,0
83,20170325,1
84,20170326,1
85,20170327,0
86,20170328,0
87,20170329,0
88,20170330,0
89,20170331,0
90,20170401,0
91,20170402,1
92,20170403,1
93,20170404,2
94,20170405,0
95,20170406,0
96,20170407,0
97,20170408,1
98,20170409,1
99,20170410,0
100,20170411,0
101,20170412,0
102,20170413,0
103,20170414,0
104,20170415,1
105,20170416,1
106,20170417,0
107,20170418,0
108,20170419,0
109,20170420,0
110,20170421,0
111,20170422,1
112,20170423,1
113,20170424,0
114,20170425,0
115,20170426,0
116,20170427,0
117,20170428,0
118,20170429,1
119,20170430,1
120,20170501,2
121,20170502,0
122,20170503,0
123,20170504,0
124,20170505,0
125,20170506,1
126,20170507,1
127,20170508,0
128,20170509,0
129,20170510,0
130,20170511,0
131,20170512,0
132,20170513,1
133,20170514,1
134,20170515,0
135,20170516,0
136,20170517,0
137,20170518,0
138,20170519,0
139,20170520,1
140,20170521,1
141,20170522,0
142,20170523,0
143,20170524,0
144,20170525,0
145,20170526,0
146,20170527,0
147,20170528,1
