,apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,precipType,station_id,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
452,13.88,,2018-10-01 00:00:00,5.0,0.55,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,13.88,1538323200,0.0,10.01,11.0,,2.0
453,16.87,,2018-10-01 01:00:00,4.01,0.42,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,16.87,1538326800,0.0,10.01,290.0,,5.0
454,16.87,,2018-10-01 02:00:00,4.01,0.42,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,16.87,1538330400,0.0,10.01,290.0,,6.0
455,15.88,,2018-10-01 03:00:00,4.01,0.45,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,15.88,1538334000,0.0,10.01,281.0,,4.01
456,15.88,,2018-10-01 04:00:00,4.01,0.45,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,15.88,1538337600,0.0,10.01,281.0,,5.0
457,15.88,,2018-10-01 05:00:00,4.01,0.45,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,15.88,1538341200,0.0,10.01,290.0,,5.0
458,15.88,,2018-10-01 06:00:00,4.01,0.45,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,15.88,1538344800,0.0,10.01,290.0,,5.0
459,16.87,,2018-10-01 07:00:00,4.01,0.42,clear-day,39.98694444,116.2905556,rain,hadian_meo,Clear,16.87,1538348400,,10.01,281.0,12.0,6.0
460,18.88,,2018-10-01 08:00:00,4.01,0.37,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,18.88,1538352000,,10.01,300.0,12.0,7.0
461,20.88,,2018-10-01 09:00:00,4.01,0.33,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,20.88,1538355600,,10.01,300.0,,8.0
462,22.87,,2018-10-01 10:00:00,4.01,0.29,clear-day,39.98694444,116.2905556,rain,hadian_meo,Clear,22.87,1538359200,,10.01,311.0,12.0,6.0
463,23.87,,2018-10-01 11:00:00,1.99,0.24,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,23.87,1538362800,,10.01,300.0,12.0,8.0
464,25.88,,2018-10-01 12:00:00,0.98,0.2,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,25.88,1538366400,,10.01,300.0,14.99,10.0
465,25.88,,2018-10-01 13:00:00,0.01,0.18,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,25.88,1538370000,,10.01,311.0,14.99,10.0
466,26.87,,2018-10-01 14:00:00,0.01,0.17,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,26.87,1538373600,,10.01,311.0,16.0,10.0
467,26.87,,2018-10-01 15:00:00,0.98,0.19,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,26.87,1538377200,,10.01,320.0,13.0,7.0
468,26.87,,2018-10-01 16:00:00,0.01,0.17,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,26.87,1538380800,,10.01,311.0,14.99,8.0
469,25.88,,2018-10-01 17:00:00,0.01,0.18,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,25.88,1538384400,,10.01,300.0,14.99,8.0
470,23.87,,2018-10-01 18:00:00,0.01,0.21,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,23.87,1538388000,0.0,10.01,300.0,,7.0
471,22.87,,2018-10-01 19:00:00,0.01,0.22,wind,39.98694444,116.2905556,rain,hadian_meo,Breezy,22.87,1538391600,0.0,10.01,311.0,,7.0
472,21.88,,2018-10-01 20:00:00,0.99,0.25,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,21.88,1538395200,0.0,10.01,311.0,,6.0
473,20.88,,2018-10-01 21:00:00,0.99,0.27,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,20.88,1538398800,0.0,10.01,311.0,,6.0
474,14.88,,2018-10-01 22:00:00,3.0,0.45,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,14.88,1538402400,0.0,10.01,330.0,,3.0
475,18.88,,2018-10-01 23:00:00,2.0,0.32,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,18.88,1538406000,0.0,10.01,311.0,,4.01
476,17.88,,2018-10-02 00:00:00,2.0,0.35,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,17.88,1538409600,0.0,10.01,300.0,,4.01
477,17.88,,2018-10-02 01:00:00,2.0,0.35,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,17.88,1538413200,0.0,10.01,300.0,,4.01
478,13.88,,2018-10-02 02:00:00,3.0,0.48,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,13.88,1538416800,0.0,10.01,300.0,,3.0
479,11.87,,2018-10-02 03:00:00,6.0,0.67,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,11.87,1538420400,0.0,10.01,350.0,,2.0
480,11.87,,2018-10-02 04:00:00,5.0,0.63,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,11.87,1538424000,0.0,10.01,11.0,,1.0
481,10.87,,2018-10-02 05:00:00,6.0,0.72,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,10.87,1538427600,0.0,10.01,0.0,,2.0
482,9.04,,2018-10-02 06:00:00,6.0,0.77,clear-night,39.98694444,116.2905556,rain,hadian_meo,Clear,9.87,1538431200,0.0,10.01,350.0,,2.0
483,11.87,,2018-10-02 07:00:00,8.01,0.77,clear-day,39.98694444,116.2905556,rain,hadian_meo,Clear,11.87,1538434800,,10.01,350.0,,3.0
484,15.88,,2018-10-02 08:00:00,6.99,0.56,clear-day,39.98694444,116.2905556,rain,hadian_meo,Clear,15.88,1538438400,,10.01,0.0,,2.0
