apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,precipType,station_id,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
21.99,,2018-09-28 00:00:00,15.71,0.68,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,21.97,1538064000,0.0,10.01,53.0,,3.28
22.02,,2018-09-28 01:00:00,15.99,0.69,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,21.97,1538067600,0.0,10.01,60.0,,3.0
21.26,,2018-09-28 02:00:00,15.28,0.69,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,21.26,1538071200,0.0,10.01,61.0,,2.53
20.37,,2018-09-28 03:00:00,16.28,0.78,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,20.26,1538074800,0.0,10.01,359.0,,2.09
19.99,,2018-09-28 04:00:00,16.57,0.82,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,19.83,1538078400,0.0,10.01,18.0,,2.42
20.69,,2018-09-28 05:00:00,16.57,0.78,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,20.54,1538082000,0.0,10.01,18.0,,2.42
20.78,,2018-09-28 06:00:00,17.28,0.82,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,20.54,1538085600,,10.01,1.0,,2.89
23.23,,2018-09-28 07:00:00,17.99,0.74,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,22.96,1538089200,,10.01,43.0,,3.25
24.43,,2018-09-28 08:00:00,17.27,0.65,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,24.25,1538092800,,10.01,50.0,,3.29
26.09,0.44,2018-09-28 09:00:00,16.56,0.56,partly-cloudy-day,31.213,121.445,rain,xujiahui_meo,Partly Cloudy,25.97,1538096400,3.0,10.01,53.0,8.0,3.28
26.11,0.44,2018-09-28 10:00:00,16.69,0.57,partly-cloudy-day,31.213,121.445,rain,xujiahui_meo,Partly Cloudy,25.97,1538100000,5.0,10.01,18.0,8.0,2.42
27.33,0.44,2018-09-28 11:00:00,16.56,0.54,partly-cloudy-day,31.213,121.445,rain,xujiahui_meo,Partly Cloudy,26.68,1538103600,6.0,10.01,13.0,,4.0
27.2,0.66,2018-09-28 12:00:00,15.84,0.52,partly-cloudy-day,31.213,121.445,rain,xujiahui_meo,Mostly Cloudy,26.68,1538107200,5.0,10.01,31.0,,3.8
27.48,0.66,2018-09-28 13:00:00,15.55,0.49,partly-cloudy-day,31.213,121.445,rain,xujiahui_meo,Mostly Cloudy,27.11,1538110800,5.0,10.01,13.0,,4.05
27.42,0.19,2018-09-28 14:00:00,15.84,0.51,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,26.96,1538114400,5.0,10.01,36.0,,4.94
27.28,0.19,2018-09-28 15:00:00,16.27,0.53,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,26.68,1538118000,3.0,10.01,6.0,,4.84
27.33,0.19,2018-09-28 16:00:00,16.56,0.54,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,26.68,1538121600,1.0,10.01,38.0,,4.86
25.84,0.19,2018-09-28 17:00:00,16.98,0.59,clear-day,31.213,121.445,rain,xujiahui_meo,Clear,25.68,1538125200,0.0,10.01,41.0,,4.75
24.83,0.37,2018-09-28 18:00:00,16.98,0.62,partly-cloudy-night,31.213,121.445,rain,xujiahui_meo,Partly Cloudy,24.68,1538128800,0.0,10.01,36.0,,4.94
24.11,0.37,2018-09-28 19:00:00,16.99,0.65,partly-cloudy-night,31.213,121.445,rain,xujiahui_meo,Partly Cloudy,23.96,1538132400,0.0,10.01,56.0,,4.27
24.14,0.19,2018-09-28 20:00:00,17.27,0.66,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,23.96,1538136000,0.0,10.01,52.0,10.0,4.86
23.86,,2018-09-28 21:00:00,17.27,0.67,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,23.67,1538139600,0.0,10.01,41.0,10.0,4.29
23.4,,2018-09-28 22:00:00,16.99,0.68,clear-night,31.213,121.445,rain,xujiahui_meo,Clear,23.24,1538143200,0.0,10.01,26.0,,4.23
