apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,lat,long,precipType,station_id,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
29.89,0.19,2018-09-28 00:00:00,23.49,0.81,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid,27.02,1538064000,0.0,10.01,227.0,,2.22
29.89,0.19,2018-09-28 01:00:00,23.49,0.81,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid,27.02,1538067600,0.0,10.01,221.0,,2.27
30.14,0.19,2018-09-28 02:00:00,24.01,0.84,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid,27.02,1538071200,0.0,10.01,221.0,,2.6
30.47,0.44,2018-09-28 03:00:00,24.5,0.86,partly-cloudy-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid and Partly Cloudy,27.02,1538074800,0.0,8.47,110.0,,1.03
28.81,0.44,2018-09-28 04:00:00,22.97,0.81,partly-cloudy-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid and Partly Cloudy,26.54,1538078400,0.0,6.98,57.0,,2.28
27.87,0.44,2018-09-28 05:00:00,22.98,0.83,partly-cloudy-night,22.5386,114.0592,rain,Shenzhenshi_meo,Humid and Partly Cloudy,26.04,1538082000,0.0,6.98,71.0,,1.99
26.63,0.44,2018-09-28 06:00:00,20.99,0.74,partly-cloudy-night,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,26.04,1538085600,0.0,7.97,62.0,,4.28
26.63,0.31,2018-09-28 07:00:00,20.99,0.74,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,26.04,1538089200,0.0,8.98,20.0,,2.81
28.53,0.31,2018-09-28 08:00:00,20.01,0.66,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,27.02,1538092800,1.0,8.98,15.0,,4.52
29.49,0.19,2018-09-28 09:00:00,19.49,0.6,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.04,1538096400,3.0,10.01,21.0,,3.75
30.27,0.19,2018-09-28 10:00:00,20.01,0.6,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.53,1538100000,6.0,10.01,6.0,,4.78
30.26,0.19,2018-09-28 11:00:00,19.98,0.6,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.53,1538103600,8.0,10.01,352.0,,4.39
30.26,0.19,2018-09-28 12:00:00,19.98,0.6,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.53,1538107200,9.0,8.98,334.0,,5.16
31.42,0.19,2018-09-28 13:00:00,21.01,0.62,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,29.04,1538110800,8.0,8.98,315.0,,6.33
31.41,0.19,2018-09-28 14:00:00,20.99,0.62,wind,22.5386,114.0592,rain,Shenzhenshi_meo,Breezy,29.04,1538114400,7.0,8.5,314.0,,7.6
30.18,0.31,2018-09-28 15:00:00,20.99,0.66,wind,22.5386,114.0592,rain,Shenzhenshi_meo,Breezy and Partly Cloudy,28.04,1538118000,4.0,8.5,320.0,,7.38
29.94,0.31,2018-09-28 16:00:00,20.49,0.64,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,28.04,1538121600,2.0,8.98,328.0,,6.47
30.81,0.31,2018-09-28 17:00:00,20.99,0.64,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,28.55,1538125200,1.0,10.01,330.0,,5.4
29.51,0.31,2018-09-28 18:00:00,20.97,0.68,wind,22.5386,114.0592,rain,Shenzhenshi_meo,Breezy and Partly Cloudy,27.52,1538128800,0.0,10.01,329.0,,6.97
28.18,0.31,2018-09-28 19:00:00,20.99,0.72,wind,22.5386,114.0592,rain,Shenzhenshi_meo,Breezy and Partly Cloudy,26.52,1538132400,0.0,10.01,324.0,,7.84
28.05,0.31,2018-09-28 20:00:00,20.48,0.7,wind,22.5386,114.0592,rain,Shenzhenshi_meo,Breezy and Partly Cloudy,26.52,1538136000,0.0,10.01,329.0,,6.97
27.92,0.19,2018-09-28 21:00:00,19.99,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,26.52,1538139600,0.0,10.01,345.0,,6.57
26.37,,2018-09-28 22:00:00,18.99,0.65,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,26.01,1538143200,0.0,10.01,354.0,,6.05
26.37,0.19,2018-09-28 23:00:00,18.99,0.65,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,26.01,1538146800,0.0,10.01,350.0,,5.84
25.78,0.19,2018-09-29 00:00:00,17.98,0.63,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,25.52,1538150400,0.0,10.01,0.0,,5.86
25.33,0.19,2018-09-29 01:00:00,18.5,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,25.01,1538154000,0.0,10.01,1.0,,4.47
24.78,,2018-09-29 02:00:00,17.99,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.52,1538157600,0.0,10.01,0.0,,4.84
24.83,,2018-09-29 03:00:00,18.5,0.69,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.52,1538161200,0.0,10.01,354.0,,4.52
24.78,,2018-09-29 04:00:00,18.01,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.52,1538164800,0.0,10.01,352.0,,5.75
24.21,,2018-09-29 05:00:00,17.49,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.01,1538168400,0.0,10.01,352.0,,4.77
24.21,,2018-09-29 06:00:00,17.49,0.67,clear-night,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.01,1538172000,0.0,10.01,359.0,,3.9
24.83,,2018-09-29 07:00:00,18.5,0.69,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,24.52,1538175600,,10.01,347.0,,4.39
25.78,0.19,2018-09-29 08:00:00,17.98,0.63,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,25.52,1538179200,1.0,10.01,0.0,,4.3
27.49,0.19,2018-09-29 09:00:00,17.98,0.59,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,26.54,1538182800,3.0,10.01,0.0,,5.76
28.44,0.19,2018-09-29 10:00:00,17.98,0.56,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,27.54,1538186400,6.0,10.01,6.0,,5.37
28.92,0.19,2018-09-29 11:00:00,17.98,0.54,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.04,1538190000,8.0,10.01,357.0,,5.37
29.82,0.19,2018-09-29 12:00:00,18.98,0.56,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,28.55,1538193600,8.0,10.01,346.0,,5.66
31.37,0.19,2018-09-29 13:00:00,18.98,0.52,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,30.03,1538197200,8.0,10.01,339.0,,4.03
32.76,0.19,2018-09-29 14:00:00,19.48,0.5,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,31.04,1538200800,7.0,10.01,334.0,,4.85
31.91,0.19,2018-09-29 15:00:00,18.98,0.5,clear-day,22.5386,114.0592,rain,Shenzhenshi_meo,Clear,30.54,1538204400,4.0,10.01,335.0,,5.29
31.91,0.31,2018-09-29 16:00:00,18.98,0.5,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,30.54,1538208000,2.0,10.01,319.0,,5.99
31.11,0.47,2018-09-29 17:00:00,18.49,0.5,partly-cloudy-day,22.5386,114.0592,rain,Shenzhenshi_meo,Partly Cloudy,30.03,1538211600,1.0,10.01,354.0,,4.39
