,station_name,lat,lon
0, '西苑', '40.004726', '116.298094'
1, '农大南路', '40.027823', '116.288702'
2, '马连洼', '40.038769', '116.279261'
3, '西北旺', '40.055297', '116.264078'
4, '永丰南', '40.071669', '116.254611'
5, '永丰', '40.077644', '116.244766'
6, '屯佃', '40.074106', '116.222442'
7, '稻香湖路', '40.074788', '116.194753'
8, '温阳路', '40.074892', '116.167825'
9, '北安河', '40.073863', '116.136825'
10, '石厂', '39.895137', '116.106975'
11, '小园', '39.896146', '116.121303'
12, '栗园庄', '39.901771', '116.129827'
13, '上岸', '39.911139', '116.128714'
14, '桥户营', '39.918355', '116.132271'
15, '四道桥', '39.922119', '116.140356'
16, '金安桥', '39.930086', '116.169398'
17, '阎村东', '39.734677', '116.107001'
18, '紫草坞', '39.730266', '116.093276'
19, '阎村', '39.722483', '116.086807'
20, '星城', '39.719734', '116.067772'
21, '大石河东', '39.716115', '116.046084'
22, '马各庄', '39.711154', '116.023054'
23, '饶乐府', '39.707343', '116.012607'
24, '房山城关', '39.711685', '115.996258'
25, '燕山', '39.725203', '115.980152'
26, '香山', '39.999821', '116.211114'
27, '植物园', '39.999254', '116.221373'
28, '万安', '39.989737', '116.238603'
29, '茶棚', '39.988011', '116.25461'
30, '颐和园西门', '39.991999', '116.269675'
31, '巴沟', '39.980389', '116.30051'
32, '金安桥', '39.930086', '116.169398'
33, '四道桥', '39.922119', '116.140356'
34, '桥户营', '39.918355', '116.132271'
35, '上岸', '39.911139', '116.128714'
36, '栗园庄', '39.901771', '116.129827'
37, '小园', '39.896146', '116.121303'
38, '石厂', '39.895137', '116.106975'
39, '清华东路西口', '40.0063', '116.345527'
40, '六道口', '40.006718', '116.359309'
41, '北沙滩', '40.007538', '116.375561'
42, '奥林匹克公园', '40.007852', '116.398711'
43, '安立路', '40.008946', '116.414285'
44, '大屯路东', '40.009611', '116.424567'
45, '关庄', '40.007136', '116.437889'
46, '望京西', '40.001109', '116.455596'
47, '望京', '40.004532', '116.475304'
48, '望京东', '40.00927', '116.4933'
49, '崔各庄', '40.028437', '116.499145'
50, '马泉营', '40.039847', '116.509638'
51, '孙河', '40.051264', '116.54104'
52, '国展', '40.075932', '116.561721'
53, '花梨坎', '40.090312', '116.564223'
54, '后沙峪', '40.119865', '116.570793'
55, '南法信', '40.134458', '116.616411'
56, '石门', '40.136314', '116.647499'
57, '顺义', '40.136138', '116.663478'
58, '俸伯', '40.138304', '116.69145'
59, '南锣鼓巷', '39.93984', '116.409683'
60, '什刹海', '39.944154', '116.402547'
61, '鼓楼大街', '39.954724', '116.40011'
62, '安德里北街', '39.963931', '116.400884'
63, '安华桥', '39.974878', '116.400603'
64, '北土城', '39.983255', '116.400663'
65, '奥体中心', '39.992442', '116.400191'
66, '奥林匹克公园', '40.007852', '116.398711'
67, '森林公园南门', '40.016211', '116.399036'
68, '林萃桥', '40.027995', '116.378905'
69, '永泰庄', '40.043692', '116.361159'
70, '西小口', '40.052716', '116.358213'
71, '育新', '40.066124', '116.353997'
72, '霍营', '40.077129', '116.366721'
73, '回龙观东大街', '40.086965', '116.369753'
74, '平西府', '40.095792', '116.357247'
75, '育知路', '40.09371', '116.333898'
76, '朱辛庄', '40.110334', '116.32013'
77, '俸伯', '40.138304', '116.69145'
78, '顺义', '40.136138', '116.663478'
79, '石门', '40.136314', '116.647499'
80, '南法信', '40.134458', '116.616411'
81, '后沙峪', '40.119865', '116.570793'
82, '花梨坎', '40.090312', '116.564223'
83, '国展', '40.075932', '116.561721'
84, '孙河', '40.051264', '116.54104'
85, '马泉营', '40.039847', '116.509638'
86, '崔各庄', '40.028437', '116.499145'
87, '望京东', '40.00927', '116.4933'
88, '望京', '40.004532', '116.475304'
89, '望京西', '40.001109', '116.455596'
90, '关庄', '40.007136', '116.437889'
91, '大屯路东', '40.009611', '116.424567'
92, '安立路', '40.008946', '116.414285'
93, '奥林匹克公园', '40.007852', '116.398711'
94, '北沙滩', '40.007538', '116.375561'
95, '六道口', '40.006718', '116.359309'
96, '清华东路西口', '40.0063', '116.345527'
97, '北京南站', '39.870965', '116.385169'
98, '永定门外', '39.873727', '116.405729'
99, '景泰', '39.871443', '116.417164'
100, '蒲黄榆', '39.871689', '116.428894'
101, '方庄', '39.871749', '116.446196'
102, '十里河', '39.871712', '116.465176'
103, '北工大西门', '39.880747', '116.484017'
104, '平乐园', '39.890758', '116.483967'
105, '九龙山', '39.899525', '116.484689'
106, '大望路', '39.914424', '116.48342'
107, '金台路', '39.929069', '116.484892'
108, '朝阳公园', '39.939443', '116.484946'
109, '枣营', '39.950188', '116.48155'
110, '东风北桥', '39.9645', '116.492579'
111, '将台', '39.97696', '116.496253'
112, '望京南', '39.990534', '116.488454'
113, '阜通', '39.997887', '116.477642'
114, '望京', '40.004532', '116.475304'
115, '东湖渠', '40.016228', '116.474032'
116, '来广营', '40.026145', '116.473489'
117, '善各庄', '40.03309', '116.484762'
118, '西局', '39.87224', '116.309898'
119, '七里庄', '39.873015', '116.300553'
120, '大井', '39.871571', '116.281826'
121, '郭庄子', '39.870755', '116.259835'
122, '大瓦窑', '39.865215', '116.246953'
123, '园博园', '39.867099', '116.208364'
124, '张郭庄', '39.864102', '116.193406'
125, '昌平西山口', '40.250294', '116.202226'
126, '十三陵景区', '40.245742', '116.214346'
127, '昌平', '40.226351', '116.240088'
128, '昌平东关', '40.227946', '116.268533'
129, '北邵洼', '40.228114', '116.287975'
130, '南邵', '40.21343', '116.293505'
