,address
0,"116.65,39.89"
1,"116.69,39.73"
2,"116.37,40.17"
3,"116.35,39.87"
4,"116.63,40.17"
5,"116.70,40.28"
6,"116.16,40.36"
7,"116.23,40.04"
8,"115.76,39.62"
9,"116.42,40.00"
10,"116.58,40.01"
11,"116.34,39.81"
12,"116.20,40.36"
13,"116.56,39.82"
14,"116.26,39.54"
15,"115.93,39.82"
16,"116.30,39.55"
17,"116.02,40.40"
18,"116.07,40.27"
19,"116.81,40.03"
20,"115.63,39.74"
21,"116.28,39.79"
22,"115.83,39.65"
23,"116.44,39.62"
24,"116.32,39.79"
25,"116.34,40.41"
26,"116.81,40.55"
27,"116.12,40.07"
28,"116.91,40.05"
29,"116.50,39.81"
30,"115.77,40.46"
31,"116.39,39.54"
32,"116.84,40.16"
33,"116.80,39.81"
34,"116.28,40.00"
35,"116.26,39.70"
36,"116.56,39.97"
37,"116.43,40.13"
38,"116.41,40.00"
39,"116.21,40.08"
40,"116.34,39.55"
41,"116.57,39.79"
42,"116.66,40.17"
43,"116.66,40.37"
44,"116.29,39.87"
45,"115.88,40.41"
46,"117.05,40.14"
47,"116.48,39.84"
48,"116.61,40.03"
49,"116.25,40.05"
50,"116.18,40.04"
51,"116.62,39.77"
52,"116.69,40.13"
53,"115.91,39.95"
54,"116.06,39.76"
55,"116.07,40.40"
56,"116.40,39.96"
57,"116.37,40.23"
58,"115.54,39.92"
59,"116.27,39.86"
60,"116.20,39.94"
61,"115.75,39.66"
62,"116.63,40.15"
63,"116.48,39.61"
64,"116.82,40.48"
65,"116.65,40.30"
66,"116.39,40.18"
67,"116.18,40.06"
68,"116.70,40.44"
69,"115.97,40.44"
70,"116.86,40.47"
71,"116.62,40.07"
72,"116.67,39.80"
73,"116.45,40.04"
74,"116.15,39.93"
75,"116.06,40.17"
76,"116.50,39.67"
77,"116.37,39.88"
78,"116.31,39.94"
79,"116.82,40.30"
80,"115.54,39.66"
81,"116.67,39.84"
82,"117.26,40.62"
83,"116.36,39.59"
84,"116.13,39.89"
85,"116.38,39.68"
86,"116.43,39.72"
87,"116.80,40.33"
88,"116.71,39.74"
89,"116.09,40.08"
90,"116.59,39.76"
91,"116.40,40.13"
92,"116.24,40.13"
93,"116.96,40.39"
94,"116.76,39.76"
95,"116.51,39.61"
96,"116.74,39.86"
97,"116.17,39.78"
98,"116.03,39.76"
99,"116.53,39.80"
100,"116.45,39.84"
101,"116.60,40.41"
102,"116.81,40.27"
103,"116.77,40.78"
104,"116.56,40.33"
105,"116.69,40.40"
106,"116.66,40.13"
107,"116.55,40.18"
108,"116.04,39.63"
109,"116.38,40.22"
110,"116.20,39.92"
111,"116.77,39.95"
112,"116.13,39.64"
113,"116.75,39.89"
114,"116.71,39.82"
115,"116.87,39.72"
116,"116.18,39.90"
117,"116.24,39.86"
118,"116.09,39.77"
119,"117.11,40.54"
120,"116.78,39.86"
121,"116.76,40.37"
122,"116.24,39.68"
123,"116.48,39.68"
124,"115.95,40.38"
125,"115.99,40.21"
126,"116.04,39.70"
127,"116.47,39.88"
128,"116.34,40.23"
129,"116.78,40.29"
130,"116.28,39.83"
131,"116.01,40.21"
132,"116.04,39.79"
133,"116.32,40.13"
134,"116.44,40.04"
135,"117.14,40.57"
136,"117.14,40.16"
137,"116.26,40.26"
138,"116.12,40.12"
139,"116.43,39.76"
140,"116.68,39.82"
141,"116.15,39.82"
142,"115.86,40.48"
143,"116.06,39.99"
144,"116.66,40.07"
145,"116.61,39.97"
146,"116.17,39.88"
147,"115.95,39.80"
148,"115.94,39.73"
149,"116.38,40.07"
150,"116.71,40.24"
151,"116.28,40.08"
152,"116.27,40.21"
153,"116.46,39.74"
154,"116.29,39.69"
155,"116.49,40.15"
156,"117.24,40.23"
157,"116.62,40.27"
158,"116.35,40.14"
159,"116.01,39.73"
160,"116.19,40.20"
161,"116.52,40.11"
162,"116.36,40.12"
163,"116.28,40.17"
164,"116.15,39.97"
165,"116.29,39.62"
166,"116.31,39.66"
167,"116.13,40.08"
168,"117.21,40.34"
169,"116.46,40.18"
170,"116.71,39.72"
171,"116.19,40.10"
172,"115.95,39.60"
173,"116.48,39.60"
174,"116.41,39.89"
175,"116.72,39.97"
176,"116.51,39.68"
177,"116.85,40.25"
178,"116.54,40.43"
179,"116.49,40.70"
180,"116.70,39.97"
181,"116.55,40.02"
182,"116.54,40.02"
183,"116.65,40.21"
184,"116.48,40.10"
185,"116.48,39.92"
186,"116.65,40.45"
187,"117.06,40.28"
188,"116.12,39.70"
189,"117.01,40.12"
190,"116.78,40.35"
191,"116.72,39.99"
192,"116.47,40.10"
193,"117.00,40.03"
194,"116.65,39.93"
195,"116.31,39.93"
196,"116.30,40.19"
197,"116.94,40.08"
198,"116.33,40.33"
199,"116.13,39.60"
200,"116.33,39.76"
201,"116.58,39.99"
202,"116.13,39.82"
203,"116.71,40.15"
204,"116.05,39.92"
205,"116.83,40.35"
206,"116.19,39.92"
207,"115.81,39.53"
208,"116.28,39.66"
209,"116.78,39.71"
210,"115.93,40.43"
211,"116.87,39.75"
212,"117.16,40.22"
213,"116.43,39.68"
214,"116.72,40.13"
215,"116.10,40.18"
216,"116.59,40.14"
217,"115.99,39.66"
218,"116.43,40.07"
219,"116.49,39.85"
220,"115.76,39.59"
221,"116.45,40.15"
222,"116.25,40.01"
223,"116.36,39.89"
224,"116.29,40.10"
225,"116.18,40.08"
226,"116.55,40.25"
227,"116.58,39.83"
228,"116.20,40.18"
229,"116.55,39.66"
230,"116.83,40.36"
231,"116.29,39.80"
232,"115.91,39.66"
233,"115.94,39.82"
234,"117.05,40.40"
235,"116.88,40.37"
236,"116.14,39.77"
237,"116.09,39.70"
238,"116.68,39.75"
239,"116.47,39.70"
240,"116.03,40.20"
241,"116.59,40.29"
242,"116.32,40.06"
243,"115.89,39.82"
244,"116.71,39.67"
245,"116.25,40.28"
246,"116.95,40.56"
247,"116.10,39.88"
248,"115.71,39.96"
249,"116.75,40.03"
250,"116.68,39.86"
251,"115.99,39.69"
252,"116.39,39.99"
253,"116.36,39.51"
