,address,address_lng,address_lat,Subway_number_list,Bus_number_list,University_number_list,Middle_School_number_list
0,"116.65,39.89",116.65,39.89,0.0,10.0,1.0,1.0
1,"116.69,39.73",116.69,39.73,0.0,0.0,0.0,0.0
2,"116.37,40.17",116.37,40.17,0.0,2.0,0.0,0.0
3,"116.35,39.87",116.35,39.87,0.0,10.0,10.0,0.0
4,"116.63,40.17",116.63,40.17,0.0,7.0,0.0,0.0
5,"116.70,40.28",116.7,40.28,0.0,10.0,0.0,0.0
6,"116.16,40.36",116.16,40.36,0.0,0.0,0.0,0.0
7,"116.23,40.04",116.23,40.04,0.0,5.0,1.0,0.0
8,"115.76,39.62",115.76,39.62,0.0,0.0,0.0,0.0
9,"116.42,40.00",116.42,40.0,2.0,10.0,2.0,8.0
10,"116.58,40.01",116.58,40.01,0.0,10.0,1.0,1.0
11,"116.34,39.81",116.34,39.81,0.0,10.0,0.0,0.0
12,"116.20,40.36",116.2,40.36,0.0,1.0,0.0,0.0
13,"116.56,39.82",116.56,39.82,0.0,10.0,0.0,0.0
14,"116.26,39.54",116.26,39.54,0.0,1.0,0.0,0.0
15,"115.93,39.82",115.93,39.82,0.0,8.0,0.0,0.0
16,"116.30,39.55",116.3,39.55,0.0,4.0,0.0,0.0
17,"116.02,40.40",116.02,40.4,0.0,0.0,0.0,0.0
18,"116.07,40.27",116.07,40.27,0.0,0.0,0.0,0.0
19,"116.81,40.03",116.81,40.03,0.0,10.0,0.0,0.0
20,"115.63,39.74",115.63,39.74,0.0,0.0,0.0,0.0
21,"116.28,39.79",116.28,39.79,0.0,1.0,0.0,0.0
22,"115.83,39.65",115.83,39.65,0.0,3.0,0.0,0.0
23,"116.44,39.62",116.44,39.62,0.0,3.0,0.0,0.0
24,"116.32,39.79",116.32,39.79,0.0,10.0,1.0,1.0
25,"116.34,40.41",116.34,40.41,0.0,8.0,0.0,0.0
26,"116.81,40.55",116.81,40.55,0.0,0.0,0.0,0.0
27,"116.12,40.07",116.12,40.07,0.0,5.0,2.0,1.0
28,"116.91,40.05",116.91,40.05,0.0,0.0,0.0,0.0
29,"116.50,39.81",116.5,39.81,1.0,10.0,1.0,1.0
30,"115.77,40.46",115.77,40.46,0.0,0.0,0.0,0.0
31,"116.39,39.54",116.39,39.54,0.0,0.0,0.0,0.0
32,"116.84,40.16",116.84,40.16,0.0,10.0,0.0,0.0
33,"116.80,39.81",116.8,39.81,0.0,2.0,0.0,0.0
34,"116.28,40.00",116.28,40.0,2.0,8.0,1.0,0.0
35,"116.26,39.70",116.26,39.7,0.0,5.0,0.0,0.0
36,"116.56,39.97",116.56,39.97,0.0,10.0,1.0,1.0
37,"116.43,40.13",116.43,40.13,0.0,10.0,0.0,1.0
38,"116.41,40.00",116.41,40.0,3.0,10.0,1.0,7.0
39,"116.21,40.08",116.21,40.08,0.0,1.0,0.0,0.0
40,"116.34,39.55",116.34,39.55,0.0,5.0,0.0,0.0
41,"116.57,39.79",116.57,39.79,1.0,10.0,1.0,0.0
42,"116.66,40.17",116.66,40.17,0.0,10.0,0.0,0.0
43,"116.66,40.37",116.66,40.37,0.0,5.0,1.0,0.0
44,"116.29,39.87",116.29,39.87,3.0,10.0,3.0,0.0
45,"115.88,40.41",115.88,40.41,0.0,5.0,0.0,0.0
46,"117.05,40.14",117.05,40.14,0.0,2.0,0.0,0.0
47,"116.48,39.84",116.48,39.84,0.0,9.0,0.0,0.0
48,"116.61,40.03",116.61,40.03,0.0,3.0,0.0,0.0
49,"116.25,40.05",116.25,40.05,0.0,8.0,1.0,1.0
50,"116.18,40.04",116.18,40.04,0.0,0.0,0.0,0.0
51,"116.62,39.77",116.62,39.77,0.0,4.0,0.0,0.0
52,"116.69,40.13",116.69,40.13,1.0,10.0,1.0,0.0
53,"115.91,39.95",115.91,39.95,0.0,0.0,0.0,0.0
54,"116.06,39.76",116.06,39.76,0.0,3.0,0.0,0.0
55,"116.07,40.40",116.07,40.4,0.0,0.0,0.0,0.0
56,"116.40,39.96",116.4,39.96,2.0,10.0,1.0,6.0
57,"116.37,40.23",116.37,40.23,0.0,10.0,0.0,1.0
58,"115.54,39.92",115.54,39.92,0.0,0.0,0.0,0.0
59,"116.27,39.86",116.27,39.86,0.0,10.0,1.0,1.0
60,"116.20,39.94",116.2,39.94,1.0,10.0,2.0,2.0
61,"115.75,39.66",115.75,39.66,0.0,2.0,0.0,0.0
62,"116.63,40.15",116.63,40.15,0.0,5.0,0.0,2.0
63,"116.48,39.61",116.48,39.61,0.0,7.0,0.0,0.0
64,"116.82,40.48",116.82,40.48,0.0,4.0,0.0,0.0
65,"116.65,40.30",116.65,40.3,0.0,8.0,0.0,0.0
66,"116.39,40.18",116.39,40.18,0.0,10.0,0.0,1.0
67,"116.18,40.06",116.18,40.06,0.0,8.0,0.0,1.0
68,"116.70,40.44",116.7,40.44,0.0,1.0,0.0,0.0
69,"115.97,40.44",115.97,40.44,0.0,8.0,0.0,1.0
70,"116.86,40.47",116.86,40.47,0.0,2.0,0.0,1.0
71,"116.62,40.07",116.62,40.07,0.0,1.0,0.0,0.0
72,"116.67,39.80",116.67,39.8,0.0,1.0,0.0,0.0
73,"116.45,40.04",116.45,40.04,1.0,10.0,0.0,1.0
74,"116.15,39.93",116.15,39.93,1.0,7.0,0.0,0.0
75,"116.06,40.17",116.06,40.17,0.0,2.0,0.0,0.0
76,"116.50,39.67",116.5,39.67,0.0,1.0,0.0,0.0
77,"116.37,39.88",116.37,39.88,1.0,10.0,5.0,8.0
78,"116.31,39.94",116.31,39.94,2.0,10.0,10.0,4.0
79,"116.82,40.30",116.82,40.3,0.0,4.0,0.0,0.0
80,"115.54,39.66",115.54,39.66,0.0,1.0,0.0,0.0
81,"116.67,39.84",116.67,39.84,0.0,3.0,1.0,0.0
82,"117.26,40.62",117.26,40.62,0.0,3.0,0.0,0.0
83,"116.36,39.59",116.36,39.59,0.0,10.0,0.0,0.0
84,"116.13,39.89",116.13,39.89,1.0,5.0,0.0,0.0
85,"116.38,39.68",116.38,39.68,0.0,4.0,0.0,0.0
86,"116.43,39.72",116.43,39.72,0.0,10.0,0.0,0.0
87,"116.80,40.33",116.8,40.33,0.0,2.0,0.0,0.0
88,"116.71,39.74",116.71,39.74,0.0,3.0,0.0,0.0
89,"116.09,40.08",116.09,40.08,0.0,0.0,0.0,0.0
90,"116.59,39.76",116.59,39.76,0.0,10.0,0.0,0.0
91,"116.40,40.13",116.4,40.13,0.0,3.0,0.0,0.0
92,"116.24,40.13",116.24,40.13,0.0,8.0,0.0,0.0
93,"116.96,40.39",116.96,40.39,0.0,6.0,0.0,1.0
94,"116.76,39.76",116.76,39.76,0.0,5.0,0.0,0.0
95,"116.51,39.61",116.51,39.61,0.0,0.0,0.0,0.0
96,"116.74,39.86",116.74,39.86,0.0,10.0,0.0,0.0
97,"116.17,39.78",116.17,39.78,0.0,7.0,0.0,1.0
98,"116.03,39.76",116.03,39.76,0.0,3.0,0.0,0.0
99,"116.53,39.80",116.53,39.8,1.0,10.0,0.0,0.0
100,"116.45,39.84",116.45,39.84,1.0,9.0,0.0,0.0
101,"116.60,40.41",116.6,40.41,0.0,2.0,0.0,0.0
102,"116.81,40.27",116.81,40.27,0.0,2.0,0.0,0.0
103,"116.77,40.78",116.77,40.78,0.0,0.0,0.0,0.0
104,"116.56,40.33",116.56,40.33,0.0,2.0,0.0,0.0
105,"116.69,40.40",116.69,40.4,0.0,2.0,1.0,0.0
106,"116.66,40.13",116.66,40.13,1.0,10.0,0.0,3.0
107,"116.55,40.18",116.55,40.18,0.0,0.0,0.0,0.0
108,"116.04,39.63",116.04,39.63,0.0,6.0,0.0,0.0
109,"116.38,40.22",116.38,40.22,0.0,4.0,0.0,0.0
110,"116.20,39.92",116.2,39.92,2.0,10.0,1.0,2.0
111,"116.77,39.95",116.77,39.95,0.0,4.0,0.0,0.0
112,"116.13,39.64",116.13,39.64,0.0,1.0,0.0,0.0
113,"116.75,39.89",116.75,39.89,0.0,2.0,0.0,0.0
114,"116.71,39.82",116.71,39.82,0.0,8.0,0.0,0.0
115,"116.87,39.72",116.87,39.72,0.0,3.0,0.0,1.0
116,"116.18,39.90",116.18,39.9,0.0,4.0,0.0,0.0
117,"116.24,39.86",116.24,39.86,1.0,10.0,0.0,0.0
118,"116.09,39.77",116.09,39.77,0.0,10.0,0.0,0.0
119,"117.11,40.54",117.11,40.54,0.0,7.0,0.0,0.0
120,"116.78,39.86",116.78,39.86,0.0,7.0,0.0,0.0
121,"116.76,40.37",116.76,40.37,0.0,8.0,0.0,0.0
122,"116.24,39.68",116.24,39.68,0.0,4.0,0.0,0.0
123,"116.48,39.68",116.48,39.68,0.0,4.0,0.0,0.0
124,"115.95,40.38",115.95,40.38,0.0,1.0,0.0,0.0
125,"115.99,40.21",115.99,40.21,0.0,0.0,0.0,0.0
126,"116.04,39.70",116.04,39.7,0.0,0.0,0.0,0.0
127,"116.47,39.88",116.47,39.88,2.0,10.0,1.0,3.0
128,"116.34,40.23",116.34,40.23,0.0,6.0,0.0,0.0
129,"116.78,40.29",116.78,40.29,0.0,5.0,0.0,0.0
130,"116.28,39.83",116.28,39.83,0.0,10.0,0.0,0.0
131,"116.01,40.21",116.01,40.21,0.0,0.0,0.0,0.0
132,"116.04,39.79",116.04,39.79,0.0,10.0,0.0,0.0
133,"116.32,40.13",116.32,40.13,0.0,1.0,0.0,0.0
134,"116.44,40.04",116.44,40.04,1.0,10.0,0.0,2.0
135,"117.14,40.57",117.14,40.57,0.0,0.0,0.0,0.0
136,"117.14,40.16",117.14,40.16,0.0,10.0,0.0,0.0
137,"116.26,40.26",116.26,40.26,0.0,1.0,0.0,0.0
138,"116.12,40.12",116.12,40.12,0.0,3.0,0.0,0.0
139,"116.43,39.76",116.43,39.76,0.0,1.0,0.0,0.0
140,"116.68,39.82",116.68,39.82,0.0,1.0,0.0,0.0
141,"116.15,39.82",116.15,39.82,0.0,8.0,0.0,2.0
142,"115.86,40.48",115.86,40.48,0.0,6.0,0.0,0.0
143,"116.06,39.99",116.06,39.99,0.0,5.0,0.0,0.0
144,"116.66,40.07",116.66,40.07,0.0,6.0,0.0,0.0
145,"116.61,39.97",116.61,39.97,0.0,3.0,0.0,0.0
146,"116.17,39.88",116.17,39.88,0.0,5.0,0.0,0.0
147,"115.95,39.80",115.95,39.8,0.0,2.0,0.0,0.0
148,"115.94,39.73",115.94,39.73,0.0,4.0,0.0,0.0
149,"116.38,40.07",116.38,40.07,0.0,10.0,0.0,1.0
150,"116.71,40.24",116.71,40.24,0.0,3.0,0.0,0.0
151,"116.28,40.08",116.28,40.08,0.0,4.0,0.0,0.0
152,"116.27,40.21",116.27,40.21,0.0,9.0,1.0,0.0
153,"116.46,39.74",116.46,39.74,0.0,8.0,1.0,0.0
154,"116.29,39.69",116.29,39.69,0.0,3.0,0.0,0.0
155,"116.49,40.15",116.49,40.15,0.0,2.0,0.0,0.0
156,"117.24,40.23",117.24,40.23,0.0,2.0,0.0,0.0
157,"116.62,40.27",116.62,40.27,0.0,8.0,0.0,0.0
158,"116.35,40.14",116.35,40.14,0.0,3.0,2.0,0.0
159,"116.01,39.73",116.01,39.73,0.0,6.0,0.0,0.0
160,"116.19,40.20",116.19,40.2,0.0,9.0,0.0,0.0
161,"116.52,40.11",116.52,40.11,0.0,5.0,0.0,0.0
162,"116.36,40.12",116.36,40.12,0.0,7.0,0.0,0.0
163,"116.28,40.17",116.28,40.17,1.0,10.0,4.0,1.0
164,"116.15,39.97",116.15,39.97,0.0,4.0,1.0,0.0
165,"116.29,39.62",116.29,39.62,0.0,4.0,0.0,0.0
166,"116.31,39.66",116.31,39.66,0.0,1.0,0.0,0.0
167,"116.13,40.08",116.13,40.08,1.0,7.0,1.0,0.0
168,"117.21,40.34",117.21,40.34,0.0,0.0,0.0,0.0
169,"116.46,40.18",116.46,40.18,0.0,5.0,0.0,0.0
170,"116.71,39.72",116.71,39.72,0.0,8.0,0.0,1.0
171,"116.19,40.10",116.19,40.1,0.0,1.0,0.0,0.0
172,"115.95,39.60",115.95,39.6,0.0,0.0,0.0,1.0
173,"116.48,39.60",116.48,39.6,0.0,9.0,0.0,0.0
174,"116.41,39.89",116.41,39.89,3.0,10.0,2.0,2.0
